text,label
This is example text number 377,0
This is example text number 378,1
This is example text number 379,1
This is example text number 380,0
This is example text number 381,1
This is example text number 382,1
This is example text number 383,1
This is example text number 384,1
This is example text number 385,0
This is example text number 386,0
This is example text number 387,0
This is example text number 388,0
This is example text number 389,0
This is example text number 390,0
This is example text number 391,0
This is example text number 392,1
This is example text number 393,0
This is example text number 394,0
This is example text number 395,0
This is example text number 396,0
This is example text number 397,0
This is example text number 398,1
This is example text number 399,1
This is example text number 400,0
This is example text number 401,1
This is example text number 402,1
This is example text number 403,1
This is example text number 404,0
This is example text number 405,1
This is example text number 406,0
This is example text number 407,0
This is example text number 408,0
This is example text number 409,1
This is example text number 410,1
This is example text number 411,1
This is example text number 412,0
This is example text number 413,0
This is example text number 414,0
This is example text number 415,0
This is example text number 416,1
This is example text number 417,1
This is example text number 418,0
This is example text number 419,0
This is example text number 420,1
This is example text number 421,1
This is example text number 422,0
This is example text number 423,1
This is example text number 424,0
This is example text number 425,0
This is example text number 426,1
This is example text number 427,0
This is example text number 428,1
This is example text number 429,1
This is example text number 430,0
This is example text number 431,0
This is example text number 432,1
This is example text number 433,0
This is example text number 434,0
This is example text number 435,1
This is example text number 436,1
This is example text number 437,0
This is example text number 438,0
This is example text number 439,0
This is example text number 440,0
This is example text number 441,0
This is example text number 442,0
This is example text number 443,0
This is example text number 444,0
This is example text number 445,1
This is example text number 446,0
This is example text number 447,1
This is example text number 448,0
This is example text number 449,1
This is example text number 450,1
This is example text number 451,0
This is example text number 452,1
This is example text number 453,1
This is example text number 454,1
This is example text number 455,1
This is example text number 456,0
This is example text number 457,1
This is example text number 458,0
This is example text number 459,1
This is example text number 460,0
This is example text number 461,0
This is example text number 462,1
This is example text number 463,1
This is example text number 464,0
This is example text number 465,0
This is example text number 466,0
This is example text number 467,1
This is example text number 468,1
This is example text number 469,0
This is example text number 470,1
This is example text number 471,1
This is example text number 472,1
This is example text number 473,0
This is example text number 474,0
This is example text number 475,1
This is example text number 476,0
This is example text number 477,1
This is example text number 478,0
This is example text number 479,1
This is example text number 480,1
This is example text number 481,0
This is example text number 482,1
This is example text number 483,1
This is example text number 484,0
This is example text number 485,1
This is example text number 486,1
This is example text number 487,1
This is example text number 488,0
This is example text number 489,1
This is example text number 490,0
This is example text number 491,1
This is example text number 492,1
This is example text number 493,1
This is example text number 494,1
This is example text number 495,1
This is example text number 496,0
This is example text number 497,0
This is example text number 498,0
This is example text number 499,0
This is example text number 500,0
This is example text number 501,1
This is example text number 502,1
This is example text number 503,0
This is example text number 504,1
This is example text number 505,0
This is example text number 506,0
This is example text number 507,0
This is example text number 508,0
This is example text number 509,1
This is example text number 510,0
This is example text number 511,1
This is example text number 512,1
This is example text number 513,1
This is example text number 514,1
This is example text number 515,1
This is example text number 516,0
This is example text number 517,0
This is example text number 518,0
This is example text number 519,1
This is example text number 520,1
This is example text number 521,0
This is example text number 522,0
This is example text number 523,0
This is example text number 524,0
This is example text number 525,0
This is example text number 526,1
This is example text number 527,1
This is example text number 528,1
This is example text number 529,1
This is example text number 530,1
This is example text number 531,0
This is example text number 532,0
This is example text number 533,1
This is example text number 534,0
This is example text number 535,0
This is example text number 536,1
This is example text number 537,1
This is example text number 538,0
This is example text number 539,1
This is example text number 540,1
This is example text number 541,1
This is example text number 542,1
This is example text number 543,1
This is example text number 544,1
This is example text number 545,1
This is example text number 546,0
This is example text number 547,0
This is example text number 548,0
This is example text number 549,0
This is example text number 550,1
This is example text number 551,0
This is example text number 552,1
This is example text number 553,1
This is example text number 554,1
This is example text number 555,1
This is example text number 556,1
This is example text number 557,0
This is example text number 558,0
This is example text number 559,0
This is example text number 560,0
This is example text number 561,1
This is example text number 562,0
This is example text number 563,0
This is example text number 564,1
This is example text number 565,0
This is example text number 566,1
This is example text number 567,0
This is example text number 568,1
This is example text number 569,1
This is example text number 570,1
This is example text number 571,1
This is example text number 572,0
This is example text number 573,0
This is example text number 574,1
This is example text number 575,1
This is example text number 576,0
This is example text number 577,0
This is example text number 578,0
This is example text number 579,1
This is example text number 580,1
This is example text number 581,0
This is example text number 582,0
This is example text number 583,0
This is example text number 584,1
This is example text number 585,0
This is example text number 586,1
This is example text number 587,0
This is example text number 588,1
This is example text number 589,0
This is example text number 590,1
This is example text number 591,0
This is example text number 592,1
This is example text number 593,1
This is example text number 594,0
This is example text number 595,0
This is example text number 596,1
This is example text number 597,1
This is example text number 598,1
This is example text number 599,1
This is example text number 600,0
This is example text number 601,1
This is example text number 602,1
This is example text number 603,0
This is example text number 604,1
This is example text number 605,1
This is example text number 606,1
This is example text number 607,1
This is example text number 608,1
This is example text number 609,0
This is example text number 610,1
This is example text number 611,0
This is example text number 612,0
This is example text number 613,0
This is example text number 614,0
This is example text number 615,0
This is example text number 616,1
This is example text number 617,1
This is example text number 618,0
This is example text number 619,0
This is example text number 620,1
This is example text number 621,1
This is example text number 622,0
This is example text number 623,1
This is example text number 624,1
This is example text number 625,1
This is example text number 626,0
This is example text number 627,0
This is example text number 628,0
This is example text number 629,0
This is example text number 630,0
This is example text number 631,1
This is example text number 632,1
This is example text number 633,1
This is example text number 634,0
This is example text number 635,0
This is example text number 636,1
This is example text number 637,1
This is example text number 638,0
This is example text number 639,1
This is example text number 640,0
This is example text number 641,1
This is example text number 642,0
This is example text number 643,1
This is example text number 644,0
This is example text number 645,0
This is example text number 646,1
This is example text number 647,1
This is example text number 648,0
This is example text number 649,1
This is example text number 650,0
This is example text number 651,1
This is example text number 652,1
This is example text number 653,1
This is example text number 654,1
This is example text number 655,1
This is example text number 656,0
This is example text number 657,1
This is example text number 658,1
This is example text number 659,1
This is example text number 660,0
This is example text number 661,1
This is example text number 662,1
This is example text number 663,0
This is example text number 664,0
This is example text number 665,0
This is example text number 666,1
This is example text number 667,0
This is example text number 668,1
This is example text number 669,1
This is example text number 670,0
This is example text number 671,0
This is example text number 672,1
This is example text number 673,0
This is example text number 674,1
This is example text number 675,1
This is example text number 676,1
This is example text number 677,1
This is example text number 678,1
This is example text number 679,1
This is example text number 680,0
This is example text number 681,0
This is example text number 682,1
This is example text number 683,0
This is example text number 684,1
This is example text number 685,0
This is example text number 686,0
This is example text number 687,1
This is example text number 688,0
This is example text number 689,0
This is example text number 690,0
This is example text number 691,0
This is example text number 692,0
This is example text number 693,0
This is example text number 694,0
This is example text number 695,0
This is example text number 696,0
This is example text number 697,0
This is example text number 698,1
This is example text number 699,0
This is example text number 700,1
This is example text number 701,1
This is example text number 702,1
This is example text number 703,1
This is example text number 704,0
This is example text number 705,0
This is example text number 706,0
This is example text number 707,0
This is example text number 708,1
This is example text number 709,0
This is example text number 710,0
This is example text number 711,1
This is example text number 712,0
This is example text number 713,0
This is example text number 714,0
This is example text number 715,1
This is example text number 716,1
This is example text number 717,1
This is example text number 718,0
This is example text number 719,1
This is example text number 720,0
This is example text number 721,0
This is example text number 722,0
This is example text number 723,0
This is example text number 724,0
This is example text number 725,0
This is example text number 726,0
This is example text number 727,1
This is example text number 728,0
This is example text number 729,0
This is example text number 730,0
This is example text number 731,1
This is example text number 732,1
This is example text number 733,1
This is example text number 734,0
This is example text number 735,1
This is example text number 736,0
This is example text number 737,1
This is example text number 738,1
This is example text number 739,0
This is example text number 740,0
This is example text number 741,0
This is example text number 742,0
This is example text number 743,0
This is example text number 744,1
This is example text number 745,0
This is example text number 746,0
This is example text number 747,1
This is example text number 748,0
This is example text number 749,1
This is example text number 750,0
This is example text number 751,0
This is example text number 752,0
This is example text number 753,0
This is example text number 754,0
This is example text number 755,1
This is example text number 756,1
This is example text number 757,1
This is example text number 758,0
This is example text number 759,0
This is example text number 760,1
This is example text number 761,1
This is example text number 762,0
This is example text number 763,0
This is example text number 764,1
This is example text number 765,1
This is example text number 766,0
This is example text number 767,0
This is example text number 768,0
This is example text number 769,0
This is example text number 770,1
This is example text number 771,0
This is example text number 772,0
This is example text number 773,0
This is example text number 774,0
This is example text number 775,0
This is example text number 776,0
This is example text number 777,1
This is example text number 778,0
This is example text number 779,1
This is example text number 780,1
This is example text number 781,0
This is example text number 782,1
This is example text number 783,0
This is example text number 784,1
This is example text number 785,0
This is example text number 786,0
This is example text number 787,0
This is example text number 788,1
This is example text number 789,1
This is example text number 790,0
This is example text number 791,1
This is example text number 792,0
This is example text number 793,0
This is example text number 794,0
This is example text number 795,1
This is example text number 796,0
This is example text number 797,1
This is example text number 798,1
This is example text number 799,1
This is example text number 800,1
This is example text number 801,1
This is example text number 802,0
This is example text number 803,0
This is example text number 804,1
This is example text number 805,0
This is example text number 806,0
This is example text number 807,1
This is example text number 808,1
This is example text number 809,1
This is example text number 810,1
This is example text number 811,0
This is example text number 812,1
This is example text number 813,0
This is example text number 814,1
This is example text number 815,1
This is example text number 816,0
This is example text number 817,0
This is example text number 818,1
This is example text number 819,0
This is example text number 820,1
This is example text number 821,0
This is example text number 822,1
This is example text number 823,0
This is example text number 824,0
This is example text number 825,0
This is example text number 826,1
This is example text number 827,1
This is example text number 828,0
This is example text number 829,0
This is example text number 830,1
This is example text number 831,0
This is example text number 832,0
This is example text number 833,0
This is example text number 834,0
This is example text number 835,0
This is example text number 836,0
This is example text number 837,0
This is example text number 838,0
This is example text number 839,1
This is example text number 840,1
This is example text number 841,1
This is example text number 842,1
This is example text number 843,1
This is example text number 844,0
This is example text number 845,1
This is example text number 846,1
This is example text number 847,0
This is example text number 848,0
This is example text number 849,1
This is example text number 850,0
This is example text number 851,0
This is example text number 852,0
This is example text number 853,1
This is example text number 854,0
This is example text number 855,1
This is example text number 856,0
This is example text number 857,1
This is example text number 858,0
This is example text number 859,1
This is example text number 860,1
This is example text number 861,0
This is example text number 862,0
This is example text number 863,0
This is example text number 864,1
This is example text number 865,1
This is example text number 866,1
This is example text number 867,0
This is example text number 868,1
This is example text number 869,1
This is example text number 870,1
This is example text number 871,0
This is example text number 872,1
This is example text number 873,1
This is example text number 874,1
This is example text number 875,1
This is example text number 876,1
This is example text number 877,1
This is example text number 878,0
This is example text number 879,1
This is example text number 880,1
This is example text number 881,0
This is example text number 882,0
This is example text number 883,1
This is example text number 884,1
This is example text number 885,1
This is example text number 886,0
This is example text number 887,0
This is example text number 888,0
This is example text number 889,1
This is example text number 890,1
This is example text number 891,0
This is example text number 892,1
This is example text number 893,1
This is example text number 894,1
This is example text number 895,1
This is example text number 896,0
This is example text number 897,1
This is example text number 898,1
This is example text number 899,1
This is example text number 900,1
This is example text number 901,1
This is example text number 902,0
This is example text number 903,0
This is example text number 904,1
This is example text number 905,1
This is example text number 906,0
This is example text number 907,1
This is example text number 908,0
This is example text number 909,1
This is example text number 910,1
This is example text number 911,0
This is example text number 912,0
This is example text number 913,0
This is example text number 914,1
This is example text number 915,1
This is example text number 916,1
This is example text number 917,1
This is example text number 918,0
This is example text number 919,1
This is example text number 920,1
This is example text number 921,0
This is example text number 922,0
This is example text number 923,1
This is example text number 924,0
This is example text number 925,0
This is example text number 926,0
This is example text number 927,0
This is example text number 928,0
This is example text number 929,0
This is example text number 930,1
This is example text number 931,1
This is example text number 932,0
This is example text number 933,1
This is example text number 934,0
This is example text number 935,1
This is example text number 936,1
This is example text number 937,1
This is example text number 938,1
This is example text number 939,1
This is example text number 940,0
This is example text number 941,0
This is example text number 942,1
This is example text number 943,0
This is example text number 944,1
This is example text number 945,1
This is example text number 946,1
This is example text number 947,0
This is example text number 948,1
This is example text number 949,0
This is example text number 950,0
This is example text number 951,0
This is example text number 952,1
This is example text number 953,1
This is example text number 954,1
This is example text number 955,0
This is example text number 956,0
This is example text number 957,0
This is example text number 958,1
This is example text number 959,1
This is example text number 960,1
This is example text number 961,1
This is example text number 962,0
This is example text number 963,0
This is example text number 964,1
This is example text number 965,1
This is example text number 966,0
This is example text number 967,1
This is example text number 968,1
This is example text number 969,0
This is example text number 970,1
This is example text number 971,0
This is example text number 972,1
This is example text number 973,1
This is example text number 974,0
This is example text number 975,1
This is example text number 976,1
This is example text number 977,0
This is example text number 978,0
This is example text number 979,1
This is example text number 980,1
This is example text number 981,1
This is example text number 982,0
This is example text number 983,1
This is example text number 984,1
This is example text number 985,1
This is example text number 986,0
This is example text number 987,1
This is example text number 988,1
This is example text number 989,1
This is example text number 990,0
This is example text number 991,1
This is example text number 992,0
This is example text number 993,1
This is example text number 994,0
This is example text number 995,1
This is example text number 996,0
This is example text number 997,1
This is example text number 998,0
This is example text number 999,1
